,ID,DATE,CURRENCY,PX_LAST,INDEX
261,LBUSTRUU Index,2014-06-08,,,LBUSTRUU Index
262,LBUSTRUU Index,2014-06-09,,1866.3,LBUSTRUU Index
263,LBUSTRUU Index,2014-06-10,,1864.32,LBUSTRUU Index
264,LBUSTRUU Index,2014-06-11,,1864.43,LBUSTRUU Index
265,LBUSTRUU Index,2014-06-12,,1869.13,LBUSTRUU Index
266,LBUSTRUU Index,2014-06-13,,1867.45,LBUSTRUU Index
267,LBUSTRUU Index,2014-06-14,,,LBUSTRUU Index
268,LBUSTRUU Index,2014-06-15,,,LBUSTRUU Index
269,LBUSTRUU Index,2014-06-16,,1868.52,LBUSTRUU Index
270,LBUSTRUU Index,2014-06-17,,1863.64,LBUSTRUU Index
271,LBUSTRUU Index,2014-06-18,,1866.97,LBUSTRUU Index
272,LBUSTRUU Index,2014-06-19,,1867.68,LBUSTRUU Index
273,LBUSTRUU Index,2014-06-20,,1868.13,LBUSTRUU Index
274,LBUSTRUU Index,2014-06-21,,,LBUSTRUU Index
275,LBUSTRUU Index,2014-06-22,,,LBUSTRUU Index
276,LBUSTRUU Index,2014-06-23,,1868.61,LBUSTRUU Index
277,LBUSTRUU Index,2014-06-24,,1871.28,LBUSTRUU Index
278,LBUSTRUU Index,2014-06-25,,1873.73,LBUSTRUU Index
279,LBUSTRUU Index,2014-06-26,,1876.84,LBUSTRUU Index
280,LBUSTRUU Index,2014-06-27,,1876.16,LBUSTRUU Index
281,LBUSTRUU Index,2014-06-28,,,LBUSTRUU Index
282,LBUSTRUU Index,2014-06-29,,,LBUSTRUU Index
283,LBUSTRUU Index,2014-06-30,,1878.0,LBUSTRUU Index
284,LBUSTRUU Index,2014-07-01,,1873.83,LBUSTRUU Index
285,LBUSTRUU Index,2014-07-02,,1868.48,LBUSTRUU Index
286,LBUSTRUU Index,2014-07-03,,1866.32,LBUSTRUU Index
287,LBUSTRUU Index,2014-07-04,,,LBUSTRUU Index
288,LBUSTRUU Index,2014-07-05,,,LBUSTRUU Index
289,LBUSTRUU Index,2014-07-06,,,LBUSTRUU Index
290,LBUSTRUU Index,2014-07-07,,1868.81,LBUSTRUU Index
291,LBUSTRUU Index,2014-07-08,,1872.74,LBUSTRUU Index
292,LBUSTRUU Index,2014-07-09,,1874.43,LBUSTRUU Index
293,LBUSTRUU Index,2014-07-10,,1875.47,LBUSTRUU Index
294,LBUSTRUU Index,2014-07-11,,1877.0,LBUSTRUU Index
295,LBUSTRUU Index,2014-07-12,,,LBUSTRUU Index
296,LBUSTRUU Index,2014-07-13,,,LBUSTRUU Index
297,LBUSTRUU Index,2014-07-14,,1874.46,LBUSTRUU Index
298,LBUSTRUU Index,2014-07-15,,1873.84,LBUSTRUU Index
299,LBUSTRUU Index,2014-07-16,,1874.15,LBUSTRUU Index
300,LBUSTRUU Index,2014-07-17,,1879.04,LBUSTRUU Index
301,LBUSTRUU Index,2014-07-18,,1878.25,LBUSTRUU Index
302,LBUSTRUU Index,2014-07-19,,,LBUSTRUU Index
303,LBUSTRUU Index,2014-07-20,,,LBUSTRUU Index
304,LBUSTRUU Index,2014-07-21,,1878.92,LBUSTRUU Index
305,LBUSTRUU Index,2014-07-22,,1880.49,LBUSTRUU Index
306,LBUSTRUU Index,2014-07-23,,1880.43,LBUSTRUU Index
307,LBUSTRUU Index,2014-07-24,,1876.33,LBUSTRUU Index
308,LBUSTRUU Index,2014-07-25,,1879.94,LBUSTRUU Index
309,LBUSTRUU Index,2014-07-26,,,LBUSTRUU Index
310,LBUSTRUU Index,2014-07-27,,,LBUSTRUU Index
311,LBUSTRUU Index,2014-07-28,,1878.5,LBUSTRUU Index
312,LBUSTRUU Index,2014-07-29,,1881.06,LBUSTRUU Index
313,LBUSTRUU Index,2014-07-30,,1873.53,LBUSTRUU Index
314,LBUSTRUU Index,2014-07-31,,1873.29,LBUSTRUU Index
315,LBUSTRUU Index,2014-08-01,,1877.75,LBUSTRUU Index
316,LBUSTRUU Index,2014-08-02,,,LBUSTRUU Index
317,LBUSTRUU Index,2014-08-03,,,LBUSTRUU Index
318,LBUSTRUU Index,2014-08-04,,1878.98,LBUSTRUU Index
319,LBUSTRUU Index,2014-08-05,,1879.3,LBUSTRUU Index
320,LBUSTRUU Index,2014-08-06,,1879.19,LBUSTRUU Index
321,LBUSTRUU Index,2014-08-07,,1883.12,LBUSTRUU Index
322,LBUSTRUU Index,2014-08-08,,1882.94,LBUSTRUU Index
323,LBUSTRUU Index,2014-08-09,,,LBUSTRUU Index
324,LBUSTRUU Index,2014-08-10,,,LBUSTRUU Index
325,LBUSTRUU Index,2014-08-11,,1882.79,LBUSTRUU Index
326,LBUSTRUU Index,2014-08-12,,1881.37,LBUSTRUU Index
327,LBUSTRUU Index,2014-08-13,,1884.47,LBUSTRUU Index
328,LBUSTRUU Index,2014-08-14,,1887.24,LBUSTRUU Index
329,LBUSTRUU Index,2014-08-15,,1891.33,LBUSTRUU Index
330,LBUSTRUU Index,2014-08-16,,,LBUSTRUU Index
331,LBUSTRUU Index,2014-08-17,,,LBUSTRUU Index
332,LBUSTRUU Index,2014-08-18,,1887.48,LBUSTRUU Index
333,LBUSTRUU Index,2014-08-19,,1885.96,LBUSTRUU Index
334,LBUSTRUU Index,2014-08-20,,1884.25,LBUSTRUU Index
335,LBUSTRUU Index,2014-08-21,,1886.68,LBUSTRUU Index
336,LBUSTRUU Index,2014-08-22,,1887.14,LBUSTRUU Index
337,LBUSTRUU Index,2014-08-23,,,LBUSTRUU Index
338,LBUSTRUU Index,2014-08-24,,,LBUSTRUU Index
339,LBUSTRUU Index,2014-08-25,,1888.38,LBUSTRUU Index
340,LBUSTRUU Index,2014-08-26,,1888.46,LBUSTRUU Index
341,LBUSTRUU Index,2014-08-27,,1891.47,LBUSTRUU Index
342,LBUSTRUU Index,2014-08-28,,1893.88,LBUSTRUU Index
343,LBUSTRUU Index,2014-08-29,,1893.97,LBUSTRUU Index
344,LBUSTRUU Index,2014-08-30,,,LBUSTRUU Index
345,LBUSTRUU Index,2014-08-31,,,LBUSTRUU Index
346,LBUSTRUU Index,2014-09-01,,,LBUSTRUU Index
347,LBUSTRUU Index,2014-09-02,,1888.09,LBUSTRUU Index
348,LBUSTRUU Index,2014-09-03,,1889.23,LBUSTRUU Index
349,LBUSTRUU Index,2014-09-04,,1885.99,LBUSTRUU Index
350,LBUSTRUU Index,2014-09-05,,1885.18,LBUSTRUU Index
351,LBUSTRUU Index,2014-09-06,,,LBUSTRUU Index
352,LBUSTRUU Index,2014-09-07,,,LBUSTRUU Index
353,LBUSTRUU Index,2014-09-08,,1885.07,LBUSTRUU Index
354,LBUSTRUU Index,2014-09-09,,1882.17,LBUSTRUU Index
355,LBUSTRUU Index,2014-09-10,,1878.9,LBUSTRUU Index
356,LBUSTRUU Index,2014-09-11,,1879.46,LBUSTRUU Index
357,LBUSTRUU Index,2014-09-12,,1873.04,LBUSTRUU Index
358,LBUSTRUU Index,2014-09-13,,,LBUSTRUU Index
